"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         113,      -6.532292975,      -4.155787209,      -5.442455707,      -2.088991834,      -4.400019659,       2.020914459
          0,           0,         114,      -6.532660413,      -4.156313144,      -5.442686726,      -2.089707982,      -4.400259434,        2.02022372
          0,           0,         115,      -6.533027484,      -4.156838584,      -5.442878899,      -2.090436355,      -4.400499725,       2.019545771
          0,           0,         116,      -6.533394217,        -4.1573634,      -5.443058222,       -2.09116889,      -4.400740554,       2.018844748
          0,           0,         117,      -6.533760894,      -4.157887302,       -5.44323877,      -2.091850719,      -4.400981942,       2.018128562
          0,           0,         118,      -6.534127183,      -4.158410593,      -5.443426887,      -2.092529307,      -4.401223912,       2.017404833
          0,           0,         119,      -6.534492299,      -4.158933276,      -5.443568887,      -2.093242674,      -4.401466478,       2.016677813
          0,           0,         120,      -6.534857356,      -4.159455411,      -5.443708306,      -2.093961472,      -4.401709638,       2.015950772
          0,           0,         121,      -6.535223191,      -4.159976975,      -5.443848491,      -2.094671536,      -4.401953426,       2.015229027
          0,           0,         122,      -6.535589485,      -4.160497704,      -5.443982621,      -2.095377655,      -4.402209651,       2.014515267
          0,           0,         123,      -6.535955829,      -4.161017349,      -5.444117972,      -2.096080854,      -4.402494485,       2.013807813
          0,           0,         124,      -6.536322066,      -4.161536994,      -5.444252161,      -2.096793258,      -4.402779454,       2.013090252
          0,           0,         125,      -6.536687831,      -4.162056589,      -5.444422869,      -2.097465913,      -4.403064622,        2.01237108
          0,           0,         126,      -6.537053326,      -4.162575896,       -5.44456802,      -2.098158484,      -4.403350016,       2.011698069
          0,           0,         127,      -6.537418727,      -4.163094765,      -5.444691996,      -2.098866194,      -4.403635716,       2.011037845
          0,           0,         128,      -6.537784113,        -4.1636132,       -5.44482254,      -2.099578557,      -4.403921684,        2.01035225
          0,           0,         129,      -6.538149839,      -4.164131088,      -5.444961388,      -2.100286647,      -4.404207971,       2.009656145
          0,           0,         130,      -6.538515929,      -4.164648415,      -5.445105303,      -2.100991659,      -4.404494605,       2.008955565
          0,           0,         131,      -6.538882245,      -4.165164956,      -5.445250689,      -2.101697818,      -4.404781603,       2.008248646
          0,           0,         132,      -6.539248453,      -4.165680863,       -5.44541062,      -2.102367474,      -4.405069017,        2.00753298
          0,           0,         133,       -6.53961373,      -4.166196182,      -5.445537841,      -2.103061688,      -4.405356897,       2.006810604
          0,           0,         134,      -6.539978432,      -4.166710931,      -5.445661947,       -2.10377607,      -4.405645246,       2.006085737
          0,           0,         135,      -6.540343506,      -4.167225061,      -5.445792198,      -2.104491526,      -4.405934062,       2.005362451
          0,           0,         136,      -6.540709198,      -4.167738415,      -5.445929076,      -2.105173153,      -4.406223349,       2.004649352
          0,           0,         137,      -6.541076352,      -4.168251447,      -5.446055359,      -2.105845714,      -4.406513122,       2.003935271
          0,           0,         138,      -6.541443533,      -4.168764059,      -5.446149396,      -2.106548301,      -4.406803408,       2.003210548
          0,           0,         139,       -6.54181059,      -4.169276162,      -5.446257498,      -2.107255656,      -4.407094231,       2.002506773
          0,           0,         140,      -6.542177574,      -4.169787711,       -5.44637594,      -2.107959341,      -4.407385599,       2.001828315
          0,           0,         141,      -6.542544593,      -4.170298903,      -5.446492945,      -2.108691794,      -4.407677555,        2.00115948
          0,           0,         142,      -6.542912718,      -4.170809795,      -5.446615864,      -2.109421851,      -4.407970101,       2.000487947
          0,           0,         143,      -6.543283002,      -4.171320004,      -5.446729236,      -2.110108993,      -4.408263234,       1.999814655
          0,           0,         144,      -6.543653544,      -4.171830022,      -5.446821089,      -2.110787851,      -4.408556995,       1.999159018
          0,           0,         145,      -6.544022808,       -4.17233938,      -5.446917719,      -2.111434239,      -4.408851386,       1.998505029
          0,           0,         146,      -6.544390391,      -4.172848008,      -5.446984455,      -2.112116685,      -4.409149389,       1.997819092
          0,           0,         147,      -6.544756596,      -4.173356035,      -5.447065619,      -2.112816045,      -4.409482764,        1.99714567
          0,           0,         148,      -6.545122056,      -4.173863644,      -5.447164592,      -2.113511116,      -4.409816275,       1.996497395
          0,           0,         149,      -6.545487004,      -4.174370811,       -5.44727079,      -2.114202386,      -4.410150036,       1.995854765
          0,           0,         150,      -6.545851491,      -4.174877477,      -5.447378809,      -2.114891815,        -4.4104841,       1.995208342
          0,           0,         151,      -6.546215588,      -4.175383603,      -5.447488639,      -2.115580852,      -4.410818498,        1.99455551
          0,           0,         152,      -6.546579383,      -4.175889167,      -5.447600652,      -2.116269485,      -4.411153239,       1.993898134
          0,           0,         153,       -6.54694294,      -4.176394188,      -5.447714557,      -2.116959658,      -4.411488338,       1.993238188
          0,           0,         154,      -6.547306437,      -4.176898688,      -5.447830849,      -2.117650315,      -4.411823828,       1.992576152
          0,           0,         155,      -6.547670095,      -4.177402655,      -5.447949353,      -2.118341261,      -4.412159725,        1.99191217
          0,           0,         156,      -6.548033975,        -4.1779068,      -5.448067972,      -2.119076579,      -4.412496023,       1.991251895
          0,           0,         157,      -6.548400199,       -4.17841026,      -5.448202296,      -2.119741719,      -4.412832701,       1.990585093
          0,           0,         158,      -6.548766894,      -4.178913006,      -5.448298456,      -2.120435558,      -4.413169773,       1.989897534
          0,           0,         159,      -6.549133055,      -4.179415489,      -5.448410079,      -2.121175804,      -4.413507271,       1.989214785
          0,           0,         160,      -6.549500142,      -4.179917226,      -5.448534529,      -2.121871572,      -4.413845144,       1.988549528
          0,           0,         161,      -6.549867096,      -4.180418288,      -5.448654993,      -2.122560945,       -4.41418342,       1.987896587
          0,           0,         162,      -6.550233127,      -4.180918595,      -5.448784574,      -2.123245886,      -4.414522208,       1.987245204
          0,           0,         163,      -6.550598028,      -4.181418119,      -5.448920033,      -2.123927233,      -4.414861407,       1.986590682
          0,           0,         164,      -6.550961904,      -4.181916943,      -5.449057255,       -2.12460884,      -4.415201044,       1.985934148
          0,           0,         165,      -6.551325068,      -4.182415077,      -5.449194733,      -2.125291488,      -4.415541169,       1.985278597
          0,           0,         166,      -6.551687826,      -4.182912549,       -5.44933303,      -2.125974145,      -4.415881801,       1.984625496
          0,           0,         167,      -6.552050373,      -4.183409379,      -5.449472607,      -2.126654967,      -4.416222943,       1.983974702
          0,           0,         168,      -6.552412737,      -4.183905558,      -5.449613292,      -2.127331388,      -4.416564569,       1.983325481
          0,           0,         169,      -6.552774806,      -4.184400703,      -5.449753412,      -2.127997438,      -4.416906696,       1.982678604
          0,           0,         170,      -6.553136038,      -4.184895108,      -5.449886459,      -2.128637835,      -4.417249326,       1.982026155
          0,           0,         171,      -6.553496264,      -4.185388907,      -5.449997785,      -2.129302609,      -4.417592469,       1.981362877
          0,           0,         172,      -6.553855488,      -4.185882136,      -5.450127587,      -2.129981802,      -4.417936138,       1.980707605
          0,           0,         173,      -6.554214244,      -4.186374972,      -5.450275838,      -2.130674908,      -4.418280325,       1.980065776
          0,           0,         174,      -6.554573214,      -4.186868515,      -5.450432834,       -2.13138968,      -4.418631606,       1.979431568
          0,           0,         175,      -6.554934434,      -4.187362112,       -5.45058572,      -2.132048782,      -4.419011261,       1.978790724
          0,           0,         176,      -6.555295973,      -4.187854872,       -5.45071158,      -2.132716895,      -4.419391024,       1.978138852
          0,           0,         177,      -6.555657086,      -4.188346963,      -5.450855416,      -2.133387873,      -4.419770921,       1.977491035
          0,           0,         178,      -6.556017624,       -4.18883852,      -5.451012924,      -2.134065975,      -4.420151038,       1.976851249
          0,           0,         179,      -6.556377927,      -4.189329493,      -5.451172113,      -2.134742469,        -4.4205314,       1.976214974
          0,           0,         180,      -6.556738135,      -4.189819834,      -5.451328261,       -2.13541553,      -4.420912029,       1.975578497
          0,           0,         181,      -6.557098162,      -4.190309513,      -5.451482836,      -2.136085581,      -4.421292932,       1.974940554
          0,           0,         182,       -6.55745797,      -4.190798504,      -5.451637617,      -2.136752009,      -4.421674139,       1.974301358
          0,           0,         183,      -6.557817544,      -4.191286861,      -5.451793019,      -2.137418497,      -4.422055661,       1.973662251
          0,           0,         184,      -6.558176828,        -4.1917746,      -5.451948286,      -2.138086077,      -4.422437499,       1.973024784
          0,           0,         185,      -6.558535937,      -4.192261739,      -5.452104004,      -2.138752246,      -4.422819635,       1.972389596
          0,           0,         186,      -6.558894915,      -4.192747825,      -5.452260638,      -2.139378118,      -4.423202089,       1.971754328
          0,           0,         187,      -6.559253459,      -4.193233175,      -5.452435197,         -2.140018,      -4.423584878,       1.971117147
          0,           0,         188,      -6.559610526,      -4.193717737,      -5.452595413,      -2.140652803,      -4.423968009,       1.970479998
          0,           0,         189,      -6.559966396,       -4.19420175,      -5.452729943,      -2.141301755,      -4.424351485,       1.969840962
          0,           0,         190,      -6.560322034,      -4.194685231,      -5.452862281,      -2.141967011,      -4.424735313,       1.969202952
          0,           0,         191,      -6.560677826,      -4.195168081,       -5.45301609,      -2.142630411,      -4.425119428,       1.968573132
          0,           0,         192,      -6.561033681,      -4.195649929,      -5.453179564,      -2.143305803,       -4.42550386,       1.967951215
          0,           0,         193,      -6.561389737,      -4.196130764,      -5.453371937,      -2.143934135,      -4.425888576,       1.967330008
          0,           0,         194,      -6.561745872,      -4.196611452,      -5.453544803,      -2.144566291,       -4.42627359,       1.966702504
          0,           0,         195,      -6.562101171,      -4.197091793,       -5.45369287,      -2.145217151,        -4.4266589,       1.966073582
          0,           0,         196,      -6.562455736,      -4.197571734,      -5.453845495,       -2.14587345,      -4.427044505,        1.96545191
          0,           0,         197,      -6.562809792,      -4.198051257,      -5.454006551,      -2.146525333,      -4.427430409,       1.964836023
          0,           0,         198,      -6.563163515,      -4.198530192,       -5.45417754,      -2.147171786,       -4.42781666,       1.964221396
